sample_index,raw_smiles,raw_length,first_bos_position,first_eos_position,first_pad_position,termination_token,termination_reason,raw_tokens,effective_token_ids,last_non_special_token,ending_motif,parenthesis_balance,bracket_balance,unmatched_ring_digits,unmatched_ring_count,max_parenthesis_depth,max_bracket_depth,canonical_smiles,is_valid_rdkit,is_unique_among_valid,valid_occurrences,is_novel_vs_reference,invalid_reason,molecular_weight,logp,tpsa,hbd,hba,rotatable_bonds,qed_score,sa_score,passes_lipinski,clinical_score,scorer_recommendation,is_novel_scorer_flag
1,COc1ccc2c(-c)c(c(-c3ccc(O)cn3)[cnH]cc=O)c1C2C,45,0,46.0,,<eos>,eos,<bos> C O c 1 c c c 2 c ( - c ) c ( c ( - c 3 c c c ( O ) c n 3 ) [ c n H ] c c = O ) c 1 C 2 C <eos> <eos> c c C c c 1 H 4 c 2 c c 1 c 1 1 c [ N ] C c 1 O C C O C ( C 1 = O ) C O C C O 2 O 1 C 1 = [ N ] 1 O r O 1 # O 2 s O 4 ( # N s l B H F r H ) 2 #,15 19 23 8 23 23 23 9 23 5 7 23 6 23 5 23 5 7 23 10 23 23 23 5 19 6 23 25 10 6 21 23 25 17 22 23 23 13 19 6 23 8 15 9 15,C,1C2C,0,0,,0,3,1,,False,False,0,True,rdkit_parse_failure,,,,,,,,,,,,
2,COc1ccc(COO)N1C(=O)N2C[CH]C[C=C](C)C(=O)(CO(C)CC)[C2CH],55,0,56.0,,<eos>,eos,<bos> C O c 1 c c c ( C O O ) N 1 C ( = O ) N 2 C [ C H ] C [ C = C ] ( C ) C ( = O ) ( C O ( C ) C C ) [ C 2 C H ] <eos> C ( = O ) O <eos> C <eos> 1 C O O C ( C C H ) ( O 4 O C ) C = C ( F O ) 1 2 1 1 [ N ] 1 2 # O 1 c s C H C c F o C c F 3 - l n s 4 F 3,15 19 23 8 23 23 23 5 15 19 19 6 18 8 15 5 13 19 6 18 9 15 21 15 17 22 15 21 15 13 15 22 5 15 6 15 5 13 19 6 5 15 19 5 15 6 15 15 6 21 15 9 15 17 22,],2CH],0,0,,0,2,1,,False,False,0,True,rdkit_parse_failure,,,,,,,,,,,,
3,C=CN[H][Cc1ccc(O)c1CNC(=O)N1CCCCCOCO(C(OC)OCC]=O)C(CCcC)cCc1C[CH]1O1c,69,0,70.0,,<eos>,eos,<bos> C = C N [ H ] [ C c 1 c c c ( O ) c 1 C N C ( = O ) N 1 C C C C C O C O ( C ( O C ) O C C ] = O ) C ( C C c C ) c C c 1 C [ C H ] 1 O 1 c <eos> 1 [ C O C ] 2 1 O O 3 C ( C ( O O ) C O ) O 1 N 1 C 2 F O 1 n r O o O - S N - l S H s l F - n 3 O,15 13 15 18 21 17 22 21 15 23 8 23 23 23 5 19 6 23 8 15 18 15 5 13 19 6 18 8 15 15 15 15 15 19 15 19 5 15 5 19 15 6 19 15 15 22 13 19 6 15 5 15 15 23 15 6 23 15 23 8 15 21 15 17 22 8 19 8 23,c,1O1c,0,0,,0,2,1,,False,False,0,True,rdkit_parse_failure,,,,,,,,,,,,
4,O=C(=CC[CcHccccc2c(CO)CCcCNCC]Cccc(C)[C)H]n1HC(C)Cc1CC2,55,0,56.0,,<eos>,eos,<bos> O = C ( = C C [ C c H c c c c c 2 c ( C O ) C C c C N C C ] C c c c ( C ) [ C ) H ] n 1 H C ( C ) C c 1 C C 2 <eos> C C <eos> C <eos> 2 C C 1 C O c 1 ( C ) C O C O C ( O C ) C = O ( C ) C 1 C O 1 = O 1 C 1 l O 1 o r - s c 1 o B s - O - S 5 = H 5 c 2,19 13 15 5 13 15 15 21 15 23 17 23 23 23 23 23 9 23 5 15 19 6 15 15 23 15 18 15 15 22 15 23 23 23 5 15 6 21 15 6 17 22 25 8 17 15 5 15 6 15 23 8 15 15 9,2,1CC2,0,0,,0,2,1,,False,False,0,True,rdkit_parse_failure,,,,,,,,,,,,
5,N[C1H](C(=O)N1CCSC1)[C1H]1CC[CCH](NC(=O)c2ccccccccc)2cFCC1,58,0,59.0,,<eos>,eos,<bos> N [ C 1 H ] ( C ( = O ) N 1 C C S C 1 ) [ C 1 H ] 1 C C [ C C H ] ( N C ( = O ) c 2 c c c c c c c c c ) 2 c F C C 1 <eos> C <eos> c <eos> <eos> C C 1 1 <eos> c 2 F C 1 1 c c 2 [ C C 1 ] C ( O O ) C ( C ( = O ) C O ) O 1 <eos> F 4 O = c o 5 O S # B o 5 c ( r = O,18 21 15 8 17 22 5 15 5 13 19 6 18 8 15 15 20 15 8 6 21 15 8 17 22 8 15 15 21 15 15 17 22 5 18 15 5 13 19 6 23 9 23 23 23 23 23 23 23 23 23 6 9 23 16 15 15 8,1,FCC1,0,0,,0,2,1,,False,False,0,True,rdkit_parse_failure,,,,,,,,,,,,
6,CN(C)NC(=O)c1cccc(-c2cccc[c)C1Cc2C1C(cC1c(c1OC(cC=ccOc3)CNCc]C1)C1c1c[C1O]C(C)[C)CH](O)C[C1(]2)C1HO1-=Sr2(o#NF#H4#H34),118,0,119.0,,<eos>,eos,<bos> C N ( C ) N C ( = O ) c 1 c c c c ( - c 2 c c c c [ c ) C 1 C c 2 C 1 C ( c C 1 c ( c 1 O C ( c C = c c O c 3 ) C N C c ] C 1 ) C 1 c 1 c [ C 1 O ] C ( C ) [ C ) C H ] ( O ) C [ C 1 ( ] 2 ) C 1 H O 1 - = S r 2 ( o # N F # H 4 # H 3 4 ) <eos>,15 18 5 15 6 18 15 5 13 19 6 23 8 23 23 23 23 5 7 23 9 23 23 23 23 21 23 6 15 8 15 23 9 15 8 15 5 23 15 8 23 5 23 8 19 15 5 23 15 13 23 23 19 23 10 6 15 18 15 23 22 15 8 6 15 8 23 8 23 21 15 8 19 22 15 5 15 6 21 15 6 15 17 22 5 19 6 15 21 15 8 5 22 9 6 15 8 17 19 8 7 13 20 27 9 5 26 4 18 16 4 17 11 4 17 10 11 6,),H34),0,0,,0,3,1,,False,False,0,True,rdkit_parse_failure,,,,,,,,,,,,
7,Nc1ccc(C)=OCc2cccc(N)c(F)c1OC1CCCcC1CCC=ClNcCc(Cc)c(c2)C,56,0,57.0,,<eos>,eos,<bos> N c 1 c c c ( C ) = O C c 2 c c c c ( N ) c ( F ) c 1 O C 1 C C C c C 1 C C C = C l N c C c ( C c ) c ( c 2 ) C <eos> c c C c C <eos> C 1 C 2 c c 2 1 <eos> C O <eos> C 1 ( C C ) ( C ) ( C O C 1 C C ) C O 1 C 1 <eos> O 1 O H [ - o B H ] 5 B l = B n # o 1 l 5,18 23 8 23 23 23 5 15 6 13 19 15 23 9 23 23 23 23 5 18 6 23 5 16 6 23 8 19 15 8 15 15 15 23 15 8 15 15 15 13 15 24 18 23 15 23 5 15 23 6 23 5 23 9 6 15,C,c2)C,0,0,,0,1,0,,False,False,0,True,rdkit_parse_failure,,,,,,,,,,,,
8,CCC(CC)CC(CC)C(=O)NCCC[CH]1CC1=OH[O=CC(CH(N)CCOCcCcCcC(C)C]CO)c,63,0,64.0,,<eos>,eos,<bos> C C C ( C C ) C C ( C C ) C ( = O ) N C C C [ C H ] 1 C C 1 = O H [ O = C C ( C H ( N ) C C O C c C c C c C ( C ) C ] C O ) c <eos> H <eos> C <eos> C 1 C C O C C O C 1 C C 3 C O C ( = O ) C 2 C O [ C ] 1 2 H O 1 s O C ( l s o ) - S c = s 5 n O 5 c 3,15 15 15 5 15 15 6 15 15 5 15 15 6 15 5 13 19 6 18 15 15 15 21 15 17 22 8 15 15 8 13 19 17 21 19 13 15 15 5 15 17 5 18 6 15 15 19 15 23 15 23 15 23 15 5 15 6 15 22 15 19 6 23,c,CO)c,0,0,,0,2,1,,False,False,0,True,rdkit_parse_failure,,,,,,,,,,,,
9,CN(C)COCc1c1(ccc1ccc(Hl)c(O)[cH]c1cCc)ccNccc2c(COCCc)CCcCN2COC,62,0,63.0,,<eos>,eos,<bos> C N ( C ) C O C c 1 c 1 ( c c c 1 c c c ( H l ) c ( O ) [ c H ] c 1 c C c ) c c N c c c 2 c ( C O C C c ) C C c C N 2 C O C <eos> C c <eos> C <eos> C <eos> 1 O ( O ) 1 C O ( C ) O <eos> C ( C ) C 1 ( C ( C O ) C 1 ) O 1 r S - F n 5 c ( H - l o = l # C - = F,15 18 5 15 6 15 19 15 23 8 23 8 5 23 23 23 8 23 23 23 5 17 24 6 23 5 19 6 21 23 17 22 23 8 23 15 23 6 23 23 18 23 23 23 9 23 5 15 19 15 15 23 6 15 15 23 15 18 9 15 19 15,C,2COC,0,0,,0,2,1,,False,False,0,True,rdkit_parse_failure,,,,,,,,,,,,
10,C=C(C1[Cc]C[=H)C=H]CC[c4cc(CC)cc(][CH]O)(cONOCC2Hc2)[C(H]1O5)CCnC3(C)C(COH)(O([C)C]C2FO)OCC=OH1C2BO1#NCl-lCFHF4c#l=c5H3,119,0,,,,max_length,<bos> C = C ( C 1 [ C c ] C [ = H ) C = H ] C C [ c 4 c c ( C C ) c c ( ] [ C H ] O ) ( c O N O C C 2 H c 2 ) [ C ( H ] 1 O 5 ) C C n C 3 ( C ) C ( C O H ) ( O ( [ C ) C ] C 2 F O ) O C C = O H 1 C 2 B O 1 # N C l - l C F H F 4 c # l = c 5 H 3,15 13 15 5 15 8 21 15 23 22 15 21 13 17 6 15 13 17 22 15 15 21 23 11 23 23 5 15 15 6 23 23 5 22 21 15 17 22 19 6 5 23 19 18 19 15 15 9 17 23 9 6 21 15 5 17 22 8 19 12 6 15 15 25 15 10 5 15 6 15 5 15 19 17 6 5 19 5 21 15 6 15 22 15 9 16 19 6 19 15 15 13 19 17 8 15 9 14 19 8 4 18 15 24 7 24 15 16 17 16 11 23 4 24 13 23 12 17 10,3,c5H3,0,0,,0,2,1,,False,False,0,True,rdkit_parse_failure,,,,,,,,,,,,
